"Zeitstempel","Wie alt sind Sie? ","Wie ist Ihre Wohnsituation? (Wohneigentum?) ","Wie ist Ihre Wohnsituation? (Haus oder Wohnung?) ","Wie ist Ihre Wohnsituation? (Großstadt, Stadt, Land?) ","Wie ist Ihre Beschäftigung? ","Bitte schätzen Sie das monatliche Netto Gesamteinkommen in Ihrem Haushalt in Euro. (Wenn Sie dazu keine Angaben machen möchten, überspringen Sie diese Frage bitte.)","Besitzen Sie ein Auto? (auch Leasing) ","Wie interessiert sind Sie an einem E-Auto als Ihr nächstes(/erstes) KFZ? (Wenn Sie generell kein Interesse am Besitz eines Autos haben, überspringen Sie diese Frage bitte) ","Welchen Anteil an Ihrer Gesamtmobilität macht Ihr Auto aus? (falls Sie kein Auto besitzen, wählen Sie bitte 0% aus) ","Welchen Anteil an Ihrer Gesamtmobilität macht der ÖPNV aus? ","Was würde den ÖPNV für Sie attraktiver machen? ","Was würde E-Autos für Sie attraktiver machen? "
"2024/04/23 8:42:15 PM OEZ","26-35","Wohneigentum","Haus","Land","Angestellter","","Auto","2","90%","10%","Überhaupt verfügbar sein","mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;mehr Sicherheit (Brandgefahr, ...);Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 8:48:51 PM OEZ","36-45","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","1900 euro","kein Auto","9","0%","20%","günstigere Preise;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten"
"2024/04/23 9:04:08 PM OEZ","16-19","Wohneigentum","Haus","Stadt","Student","","kein Auto","7","0%","80%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 9:12:42 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Student","","kein Auto","4","0%","100%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien"
"2024/04/24 12:56:44 AM OEZ","20-25","gemietet","Wohnung","Stadt","Student","","Auto","8","90%","10%","günstigere Preise;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/24 1:21:26 AM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Student","1100","kein Auto","7","0%","90%","günstigere Preise;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;keine undurchsichtige Preisstruktur"
"2024/04/24 10:11:25 AM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Student;Angestellter","Einkommen als SHK 300, Eltern 600","kein Auto","6","0%","70%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen;bessere Sauberkeit;bessere Zuverlässigkeit;Besseres Verkehrsnetz, Direktverbindungen","günstigere Preise;gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;mehr Sicherheit (Brandgefahr, ...);längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/24 11:55:29 AM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","3400","kein Auto","9","0%","100%","kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/24 1:09:55 PM OEZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Student","1900","kein Auto","","0%","90%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","Ich will kein Auto"
"2024/04/24 1:50:28 PM OEZ","16-19","Wohneigentum","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","","kein Auto","3","30%","50%","kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;mehr Sicherheit (Brandgefahr, ...);längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/25 2:45:38 AM OEZ","26-35","gemietet","Wohnung","Land","Angestellter","40.000","kein Auto","","0%","40%","günstigere Preise;bessere Zuverlässigkeit;Höhere Reisegeschwindigkeit","Die Frage ist verpflichtend, also antworte ich irgendwas, obwohl ich kein Interesse an motorisiertem Individualverkehr habe. Wieso spielen Fahrräder für eure nachhaltige Mobilität eigentlich keine Rolle?"
"2024/05/03 1:33:26 AM OESZ","16-19","Wohneigentum","Wohnung","Stadt","Student","","Auto","2","30%","50%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
