"Zeitstempel","Wie alt sind Sie? ","Wie ist Ihre Wohnsituation? (Wohneigentum?) ","Wie ist Ihre Wohnsituation? (Haus oder Wohnung?) ","Wie ist Ihre Wohnsituation? (Großstadt, Stadt, Land?) ","Wie ist Ihre Beschäftigung? ","Bitte schätzen Sie das monatliche Netto Gesamteinkommen in Ihrem Haushalt in Euro. (Wenn Sie dazu keine Angaben machen möchten, überspringen Sie diese Frage bitte.)","Besitzen Sie ein Auto? (auch Leasing) ","Wie interessiert sind Sie an einem E-Auto als Ihr nächstes(/erstes) KFZ? (Wenn Sie generell kein Interesse am Besitz eines Autos haben, überspringen Sie diese Frage bitte) ","Welchen Anteil an Ihrer Gesamtmobilität macht Ihr Auto aus? (falls Sie kein Auto besitzen, wählen Sie bitte 0% aus) ","Welchen Anteil an Ihrer Gesamtmobilität macht der ÖPNV aus? ","Was würde den ÖPNV für Sie attraktiver machen? ","Was würde E-Autos für Sie attraktiver machen? "
"2024/04/22 1:28:30 PM OEZ","20-25","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","6","80%","20%","bessere Sauberkeit;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/22 1:29:15 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","1050","kein Auto","1","0%","100%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Sauberkeit;bessere Zuverlässigkeit","Wenn ich am Arsch der Welt wohnen würde"
"2024/04/22 1:29:21 PM OEZ","20-25","Wohneigentum","Reihenhaus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","kein Auto","7","10%","90%","bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/22 1:29:33 PM OEZ","20-25","Wohneigentum","Haus","Stadt","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","kein Auto","7","40%","60%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit;Einlasssystem wie in London/ Paris","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/22 1:31:53 PM OEZ","20-25","gemietet","Wohnung","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","3","40%","60%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/22 1:35:13 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Student;Angestellter","5000","Auto","7","10%","90%","bessere Zuverlässigkeit","gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/22 1:35:59 PM OEZ","16-19","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","3","50%","50%","kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/22 1:36:28 PM OEZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","4500€ Netto","Auto","8","50%","30%","bessere Sauberkeit;bessere Zuverlässigkeit;Sinnvollere Verbindungen, zum Beispiel eine Ringbahn in Hannover, wie sie in Berlin existiert. Aktuell müsste ich 15 Minuten in Richtung Innenstadt und dann wieder 20 Minuten raus fahren, um zur Arbeit zu kommen. Auf direktem Weg mit dem Auto brauche ich 15 Minuten. ","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/22 1:48:41 PM OEZ","20-25","Wohneigentum","Reihenhaus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","7000","Auto","6","70%","10%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/22 1:57:13 PM OEZ","20-25","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","5","30%","60%","günstigere Preise;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/22 2:08:17 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","2500","Auto","10","40%","10%","bessere Zuverlässigkeit","günstigere Preise"
"2024/04/22 2:16:54 PM OEZ","26-35","gemietet","Wohnung","Land","Angestellter","5000","Auto","1","90%","10%","Besser Anbindung ","günstigere Preise;mehr Reichweite;Gewissenheit über Entsorgung "
"2024/04/22 2:35:46 PM OEZ","20-25","Wohneigentum","Reihenhaus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","10000,00","Auto","2","80%","20%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/22 2:59:35 PM OEZ","20-25","gemietet","Haus","Stadt","Student","","kein Auto","5","0%","80%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/22 3:23:43 PM OEZ","20-25","gemietet","Wohnung","Stadt","Student","7.000","Auto","3","70%","20%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/22 5:08:36 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","1250€","kein Auto","1","0%","100%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen;bessere Zuverlässigkeit","gar nicht. Individualverkehr verringern und den  ÖPNV ausbauen."
"2024/04/22 7:33:17 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","netto: 2.700","Auto","6","90%","10%","günstigere Preise;bessere Zuverlässigkeit","längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
